codigo_acceso,nombre_acceso,id_acceso
11,PISO 2 DESALIMENTACIÓN LA MARÍA/ BOSA SAN DIEGO /LA RAMIREZ/ EL VERJÓN ( DISCAPACIDAD),143
12,Acceso Troncal Cll6 (Discapacidad),144
15,Piso 1 Alimentación (Discapacidad),145
4A,BATERIA UNO PEATONAL NORTE PORTAL SUR,146
KB,PLATAFORMA 1 ALIMENTACIÓN   ALIMENTACIÓN RUTA CIRCULAR/ RUTA 91,147
KC,PLATAFORMA 1 CSM/ALBÁN CARBONELL/BOSA CENTRO,148
LA,PLATAFORMA 2 ALIMENTACION,149
LB,PLATAFORMA 2 DESALIMENTACIÓN OLARTE/BOSA LAURELES/AV. BOSA /TERMINAL/PERDOMO,150
BA,BATERIA UNO VAGON SUR PERDOMO,151
AA,BATERIA UNO VAGON NORTE SEVILLANA,152
13,PLATAFORMA 1 ALIMENTACION  (DISCAPACIDAD),153
27,PLATAFORMA 1 ALIMENTACIÓN - CASA BLANCA/AV VILLAVICENCIO/PATIO BONITO/ROMA (DISCAPACIDAD),154
28,PLATAFORMA 2 ALIMENTACIÓN  DESALIMENTACIÓN - BOSA INDEPENDENCIA/FRANJA SECA (DISCAPACIDAD),155
30,Plataforma 2 Alimentación  Desalimentación- Bosa la Libertad (Discapacidad),156
32,PLATAFORMA 3 DESALIMENTACION - PORVENIR/BOSA SANTAFE/AV TINTAL/ METROVIVIENDA (DISCAPACIDAD),157
33,PLATAFORMA 3 ALIMENTACION - PORVENIR/BOSA SANTAFE/AV TINTAL/ METROVIVIENDA(DISCAPACIDAD),158
34,Acceso Peatonal (Discapacidad),159
35,Acceso Bicicletero (Discapacidad),160
5A,PEATONAL COSTADO SUR,161
KA,"ALIMENTACION  K.CENTRAL, HOSPITAL, CORABASTOS,TIMIZA",162
LK,Peatonal (Occidente),163
MA,DESALIMENTACION CASTILLA Y BIBLIOTECA TINTAL,164
AB,BATERIA UNO VAGON OCCIDENTE MARSELLA,165
26,Acceso Bicicletero (Sur) (Discapacidad),166
25,PLATAFORMA 2 ALIMENTACION CONSORCIO EXPRESS (Discapacidad),167
29,PLATAFORMA 2 ALIMENTACION MASIVO CAPITAL (Discapacidad),168
KD,DESALIMENTACIÓN - SAN JOAQUÍN /JJ RONDÓN / TESORO,169
AK,TAQUILLA UNO VAGON NORTE SANTA LUCÍA,170
72333,Mus B-7|Museo Nacional B - 7,171
61911,K062|Quinta Paredes B - 4 ó 6,172
61988,L063|San Victorino A - 3 ó 6,173
61852,K003|Av. Rojas C - 3,174
61856,K007|CAN A - 3 ó 6,175
61876,K027|Corferias A - 3 ó 6,176
61899,K050|Concejo de Bogotá B - 4 ó 6,177
61961,L036|Policarpa B - 4 ó 6,178
61977,L052|Av. 1º de Mayo B - 4 ó 6,179
61859,K010|CAN A - 2 ó 5,180
KW,BATERIA INTERMUNICIPALES SUR CABECERA AUTOPISTA NORTE,181
71388,BD-021A|K11 - CL70A,182
71389,BD-022A|K13 - CL66,183
71390,BD-023A|K13 - CL60,184
71391,BD-024A|K13 - CL55,185
71394,BD-027A|K13 - CL43A,186
71519,BD-044A|K11 - CL93,187
71520,BD-045A|K11 - CL86A,188
71521,BD-046A|K11 - CL82,189
71522,BD-020A|K11  -  CL75,190
73049,BD-162B01|Calle 100 - Kra 8,191
71518,BD-043A|K11 - CL95,192
71423,Mus B - 4|Museo Nacional B - 4 ó 6,193
71392,BD-025A|K13 - CL52,194
71395,BD-028A|K13 - CL37,195
72921,PA72921|Country Sur B - 8,196
61986,L061|San Diego B - 1 ó 5,197
61826,H055|Consuelo B - 1,198
61853,K004|Av. Rojas C - 1,199
61928,L003|Bicentenario B - 4 ó 6,200
61901,K052|Concejo de Bogotá B - 2 ó 5,201
